單位名稱,連絡電話,區域別,縣市,經緯度,百步蛇,雨傘節,飯匙倩蛇,龜殼花,赤尾鮐蛇,鎖鏈蛇
三軍衛材供應處,03-4708794#325086,北區,桃園市,"24.879508781799746, 121.23581868625095",1.0,1.0,1.0,1.0,1.0,0.0
三軍總醫院附設民眾診療服務處,02-87927044,台北區,台北市,"25.071637412128464, 121.59284078716082",1.0,1.0,1.0,1.0,1.0,0.0
三軍總醫院附設基隆民眾診療服務處,02-24633330#79751,台北區,基隆市,"25.14472071755306, 121.76416851139084",1.0,1.0,1.0,1.0,1.0,0.0
三軍總醫院澎湖分院附設民眾診療服務處,06-9212582,高屏區,澎湖縣,"23.55483676850333, 119.58342402856367",0.0,1.0,1.0,1.0,1.0,0.0
大千綜合醫院,037-357125#52021,北區,苗栗縣,"24.549933555781628, 120.81480156720542",1.0,1.0,1.0,1.0,1.0,0.0
大順醫院,037-997666#13,北區,苗栗縣,"24.549933555781628, 120.81480156720542",0.0,1.0,1.0,1.0,1.0,0.0
中山醫學大學附設醫院,04-24739595#38220,中區,台中市,"24.12255116127225, 120.65008834909774",0.0,1.0,1.0,1.0,1.0,0.0
中國醫藥大學北港附設醫院,05-7837901#1185,南區,雲林縣,"23.590013449182354, 120.30727926904335",0.0,1.0,1.0,1.0,1.0,0.0
中國醫藥大學附設醫院,04-22062121#5434,中區,台中市,"24.15740580132385, 120.68053481525672",0.0,1.0,1.0,1.0,1.0,0.0
中國醫藥大學新竹附設醫院,03-5580558#1436,北區,新竹縣,"24.8242502840132, 121.0020557825513",0.0,0.0,0.0,1.0,1.0,0.0
仁愛醫院 (新北市),02-26834567#2999,台北區,新北市,"24.987357476707217, 121.42007845556714",1.0,1.0,1.0,1.0,1.0,0.0
仁愛醫療財團法人大里仁愛醫院,04-24819900#11224,中區,台中市,"24.109302250349963, 120.68054021322764",0.0,0.0,0.0,1.0,1.0,0.0
天主教中華聖母修女會醫療財團法人天主教聖馬爾定醫院,05-2756000#3113,南區,嘉義市,"23.476359251929978, 120.46748556196115",1.0,1.0,1.0,1.0,1.0,0.0
天主教仁慈醫療財團法人仁慈醫院,03-5993500#2021,北區,新竹縣,"24.900665969205605, 121.04545670371648",0.0,1.0,1.0,1.0,1.0,0.0
天主教耕莘醫療財團法人永和耕莘醫院,02-29251302#10113,台北區,新北市,"25.01192060805555, 121.51799640182936",0.0,1.0,1.0,1.0,1.0,0.0
天主教耕莘醫療財團法人耕莘醫院,02-22193391#15056,台北區,新北市,"25.01192060805555, 121.51799640182936",0.0,1.0,1.0,1.0,1.0,0.0
天主教靈醫會醫療財團法人礁溪杏和醫院,039-886996#402,台北區,宜蘭縣,"24.820762226178704, 121.76912865371541",0.0,0.0,0.0,1.0,1.0,0.0
