物資分類,單位名稱,連絡電話,區域別,縣市,經緯度
抗百步蛇毒血清,三軍衛材供應處,03-4708794#325086,北區,桃園市,"24.879508781799746, 121.23581868625095"
抗雨傘節及飯匙倩蛇毒血清,三軍衛材供應處,03-4708794#325086,北區,桃園市,"24.879508781799746, 121.23581868625095"
抗龜殼花及赤尾鮐蛇毒血清,三軍衛材供應處,03-4708794#325086,北區,桃園市,"24.879508781799746, 121.23581868625095"
抗百步蛇毒血清,三軍總醫院附設民眾診療服務處,02-87927044,台北區,台北市,"25.071637412128464, 121.59284078716082"
抗雨傘節及飯匙倩蛇毒血清,三軍總醫院附設民眾診療服務處,02-87927044,台北區,台北市,"25.071637412128464, 121.59284078716082"
抗龜殼花及赤尾鮐蛇毒血清,三軍總醫院附設民眾診療服務處,02-87927044,台北區,台北市,"25.071637412128464, 121.59284078716082"
抗百步蛇毒血清,三軍總醫院附設基隆民眾診療服務處,02-24633330#79751,台北區,基隆市,"25.14472071755306, 121.76416851139084"
抗雨傘節及飯匙倩蛇毒血清,三軍總醫院附設基隆民眾診療服務處,02-24633330#79751,台北區,基隆市,"25.14472071755306, 121.76416851139084"
抗龜殼花及赤尾鮐蛇毒血清,三軍總醫院附設基隆民眾診療服務處,02-24633330#79751,台北區,基隆市,"25.14472071755306, 121.76416851139084"
抗雨傘節及飯匙倩蛇毒血清,三軍總醫院澎湖分院附設民眾診療服務處,06-9212582,高屏區,澎湖縣,"23.55483676850333, 119.58342402856367"
抗龜殼花及赤尾鮐蛇毒血清,三軍總醫院澎湖分院附設民眾診療服務處,06-9212582,高屏區,澎湖縣,"23.55483676850333, 119.58342402856367"
抗百步蛇毒血清,大千綜合醫院,037-357125#52021,北區,苗栗縣,"24.549933555781628, 120.81480156720542"
抗雨傘節及飯匙倩蛇毒血清,大千綜合醫院,037-357125#52021,北區,苗栗縣,"24.549933555781628, 120.81480156720542"
抗龜殼花及赤尾鮐蛇毒血清,大千綜合醫院,037-357125#52021,北區,苗栗縣,"24.549933555781628, 120.81480156720542"
抗雨傘節及飯匙倩蛇毒血清,大順醫院,037-997666#13,北區,苗栗縣,"24.549933555781628, 120.81480156720542"
抗龜殼花及赤尾鮐蛇毒血清,大順醫院,037-997666#13,北區,苗栗縣,"24.549933555781628, 120.81480156720542"
抗雨傘節及飯匙倩蛇毒血清,中山醫學大學附設醫院,04-24739595#38220,中區,台中市,"24.12255116127225, 120.65008834909774"
抗龜殼花及赤尾鮐蛇毒血清,中山醫學大學附設醫院,04-24739595#38220,中區,台中市,"24.12255116127225, 120.65008834909774"
抗雨傘節及飯匙倩蛇毒血清,中國醫藥大學北港附設醫院,05-7837901#1185,南區,雲林縣,"23.590013449182354, 120.30727926904335"
抗龜殼花及赤尾鮐蛇毒血清,中國醫藥大學北港附設醫院,05-7837901#1185,南區,雲林縣,"23.590013449182354, 120.30727926904335"
抗雨傘節及飯匙倩蛇毒血清,中國醫藥大學附設醫院,04-22062121#5434,中區,台中市,"24.15740580132385, 120.68053481525672"
